classifier,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,precision_macro,recall_macro,f1_macro,matthews_corrcoef
DummyClassifier,0.71,1.0,0.83,0.0,0.0,0.0,0.71,0.35,0.5,0.41,0.0
BernoulliNB,0.87,0.84,0.85,0.64,0.68,0.65,0.8,0.75,0.76,0.75,0.51
LinearSVC,0.86,0.91,0.88,0.75,0.64,0.69,0.83,0.81,0.78,0.79,0.58
SVC (rbf),0.83,0.92,0.87,0.74,0.53,0.61,0.81,0.79,0.73,0.74,0.51
SVC (poly degree=2),0.75,0.96,0.84,0.68,0.2,0.3,0.74,0.71,0.58,0.57,0.26
MLPClassifier,0.86,0.87,0.86,0.67,0.65,0.66,0.81,0.76,0.76,0.76,0.52
RandomForestClassifier,0.86,0.93,0.89,0.79,0.64,0.7,0.85,0.83,0.78,0.8,0.61
AdaBoostClassifier,0.87,0.91,0.89,0.75,0.67,0.71,0.84,0.81,0.79,0.8,0.6
BaggingClassifier,0.86,0.92,0.89,0.77,0.63,0.69,0.84,0.81,0.78,0.79,0.59
ExtraTreesClassifier,0.85,0.93,0.89,0.77,0.6,0.67,0.83,0.81,0.76,0.78,0.57
GradientBoostingClassifier,0.86,0.92,0.89,0.77,0.62,0.69,0.84,0.81,0.77,0.79,0.59
LogisticRegression,0.85,0.89,0.87,0.71,0.62,0.66,0.82,0.78,0.76,0.77,0.54
DecisionTreeClassifier,0.87,0.89,0.88,0.73,0.69,0.7,0.83,0.8,0.79,0.79,0.59
SGDClassifier,0.87,0.88,0.87,0.71,0.68,0.69,0.82,0.79,0.78,0.78,0.57
VotingW,0.87,0.92,0.89,0.76,0.66,0.71,0.84,0.82,0.79,0.8,0.61
VotingN,0.87,0.92,0.9,0.78,0.67,0.72,0.85,0.82,0.79,0.81,0.62
