classifier,precision_no,recall_no,f1_no,precision_yes,recall_yes,f1_yes,accuracy,f1_macro,precision_macro,recall_macro,matthews_corrcoef
BernoulliNB,0.88,0.67,0.76,0.49,0.78,0.6,0.7,0.68,0.69,0.73,0.41
LinearSVC,0.84,0.9,0.87,0.71,0.59,0.64,0.81,0.76,0.78,0.74,0.52
SVC,0.83,0.93,0.87,0.76,0.52,0.61,0.81,0.74,0.79,0.72,0.51
MLPClassifier,0.86,0.9,0.88,0.73,0.65,0.68,0.83,0.78,0.8,0.77,0.57
RandomForestClassifier,0.85,0.9,0.88,0.72,0.62,0.67,0.82,0.77,0.79,0.76,0.54
AdaBoostClassifier,0.87,0.91,0.89,0.77,0.65,0.7,0.84,0.8,0.82,0.78,0.6
BaggingClassifier,0.85,0.9,0.87,0.71,0.61,0.65,0.81,0.76,0.78,0.75,0.53
ExtraTreesClassifier,0.85,0.9,0.87,0.7,0.61,0.65,0.81,0.76,0.77,0.75,0.52
GradientBoostingClassifier,0.86,0.9,0.88,0.74,0.64,0.69,0.83,0.78,0.8,0.77,0.57
LogisticRegression,0.84,0.9,0.87,0.72,0.59,0.65,0.81,0.76,0.78,0.75,0.53
DecisionTreeClassifier,0.84,0.84,0.84,0.61,0.61,0.61,0.78,0.73,0.73,0.73,0.45
SGDClassifier,0.85,0.83,0.84,0.62,0.63,0.6,0.77,0.72,0.73,0.73,0.46
Voting,0.86,0.91,0.89,0.75,0.64,0.69,0.83,0.79,0.81,0.78,0.58
